pubdate,source,title,link
2025-07-09-22-51-52 +0000,nyt,"Trump Pledges 50% Tariffs Against Brazil, Citing ‘Witch Hunt’ Against Bolsonaro",https://www.nytimes.com/2025/07/09/world/americas/brazil-trump-bolsonaro-lula-coup-tariff.html
2025-07-09-22-33-32 +0000,nyt,"Not Invited to Dior’s Show in Paris, a Fashion Influencer Hosts a Watch Party Instead",https://www.nytimes.com/2025/07/09/style/dior-watch-party-paris-elias-medini-lyas.html
2025-07-09-22-32-07 +0000,bbc,Trump threatens Brazil with 50% tariff and demands Bolsonaro's trial end,https://www.bbc.com/news/articles/c784ee81y4zo
2025-07-09-22-25-43 +0000,bbc,"US sanctions UN expert Francesca Albanese, critic of Israel's Gaza offensive",https://www.bbc.com/news/articles/c70rllxr0kyo
2025-07-09-22-17-48 +0000,bbc,Ex-Tory chairman Jake Berry defects to Reform UK,https://www.bbc.com/news/articles/cx24lll3n99o
2025-07-09-22-01-21 +0000,bbc,Everything you need to know about Wafcon 2024 finals,https://www.bbc.com/sport/football/articles/cqj7k2pwx4no
2025-07-09-22-00-09 +0000,bbc,Chinese students sleep off heatwave in libraries and tents,https://www.bbc.com/news/articles/czrykm5z2rxo
2025-07-09-21-58-38 +0000,nyt,A British Surgeon Shares What She Saw in Gaza’s Hospitals,https://www.nytimes.com/2025/07/09/world/middleeast/gaza-hospitals-uk-surgeon-israel-attacks.html
2025-07-09-21-57-53 +0000,bbc,Chebbak hat-trick helps Morocco avoid DR Congo upset at Wafcon,https://www.bbc.com/sport/football/articles/cx24e3z8y6jo
2025-07-09-21-43-07 +0000,nyt,"Henry Mount Charles, Whose Castle Was a Mecca for Rock, Dies at 74",https://www.nytimes.com/2025/07/09/world/europe/henry-mount-charles-dead.html
2025-07-09-21-39-44 +0000,nyt,Russia Makes Record Attack on Ukraine as Trump Castigates Putin,https://www.nytimes.com/2025/07/09/world/europe/russia-ukraine-attack-weapons-trump-putin.html
2025-07-09-21-34-15 +0000,nyt,"Yemen’s Houthi Militia Took Sailors Hostage After Red Sea Attack, U.S. Says",https://www.nytimes.com/2025/07/09/world/middleeast/houthis-red-sea-hostages.html
2025-07-09-21-07-59 +0000,bbc,'Shoot in the leg' - Kenyan leader orders police to curb violent protests,https://www.bbc.com/news/articles/c9dgv5e6447o
2025-07-09-20-53-18 +0000,bbc,Why Trump has invited five African leaders to the White House,https://www.bbc.com/news/articles/c5ygqenwx78o
2025-07-09-20-36-58 +0000,bbc,'Huge wall of water': Texas man stood on meter box to survive deadly floods,https://www.bbc.com/news/articles/c3358pz41d6o
2025-07-09-20-25-00 +0000,wsj,Minutes from the Fed’s June policy meeting tease at a looming split over whether and when officials will resume rate cuts,https://www.wsj.com/economy/central-banking/june-fed-minutes-inflation-interest-rates-4911925c
2025-07-09-20-22-16 +0000,bbc,Detained as an illegal immigrant – Maga mom still has faith in Trump's mass deportation plan,https://www.bbc.com/news/articles/c3vd1vn9n06o
2025-07-09-20-19-30 +0000,bbc,Government's watered-down benefits bill clears Commons,https://www.bbc.com/news/articles/cm2zyvypmeeo
2025-07-09-20-15-52 +0000,bbc,South Korea's ex-president Yoon Suk Yeol rearrested,https://www.bbc.com/news/articles/cd97ez54dlyo
2025-07-09-20-12-25 +0000,nyt,Where Do Israel-Hamas Cease-Fire Negotiations Stand?,https://www.nytimes.com/article/israel-hamas-ceasefire-negotiations.html
2025-07-09-20-01-43 +0000,bbc,Red Bull sack team principal Horner after 20 years,https://www.bbc.com/sport/formula1/articles/cn5k6y1xyl3o
2025-07-09-19-58-41 +0000,nyt,Thune Says Russia Sanctions Vote Could Come as Soon as This Month,https://www.nytimes.com/2025/07/09/us/politics/russia-sanctions-senate-thune-trump.html
