pubdate,source,title,link
2025-07-11-00-52-06 +0000,nypost,Hochul blames Trump’s ‘Big Beautiful’ bill for money woes weeks after NYS OK’d massive spending hike,https://nypost.com/2025/07/10/us-news/hochul-blames-trumps-big-beautiful-bill-for-money-woes-weeks-after-nys-okd-massive-spending-hike/
2025-07-11-00-46-14 +0000,nypost,Largest US teachers union mocked for misspelling ‘fascism’ in anti-Trump agenda item: ‘Too rich to parody’,https://nypost.com/2025/07/10/us-news/largest-us-teachers-union-mocked-for-misspelling-fascism-in-anti-trump-agenda-item/
2025-07-11-00-46-03 +0000,cbc,Trump threatening 35% tariffs on Canadian goods across the board,https://www.cbc.ca/news/politics/trump-35-per-cent-tariffs-1.7582563?cmp=rss
2025-07-11-00-45-44 +0000,nypost,"Search-and-rescue volunteers had to rely on sense of smell to find bodies in Texas flood debris, one reveals",https://nypost.com/2025/07/10/us-news/search-and-rescue-volunteers-had-to-rely-on-sense-of-smell-to-find-bodies-in-texas-flood-debris-one-reveals/
2025-07-11-00-45-05 +0000,bbc,Asia is reeling from Trump's tariff salvo – is anyone winning?,https://www.bbc.com/news/articles/ckg5l2yy42eo
2025-07-11-00-32-43 +0000,nypost,Toddler added to tragic list of dead from historic Texas floods,https://nypost.com/2025/07/10/us-news/toddler-clay-parisher-added-to-tragic-list-of-dead-from-historic-texas-floods/
2025-07-11-00-03-19 +0000,nypost,"Mayor Adams must implement controversial and costly City Council housing voucher plan, NY court rules",https://nypost.com/2025/07/10/us-news/mayor-adams-must-implement-costly-housing-voucher-plan-court-rules/
2025-07-10-23-59-57 +0000,nypost,"New York hospital worker accused of secretly filming 13K patients, staff in bathroom: lawsuit",https://nypost.com/2025/07/10/us-news/ny-hospital-faces-lawsuits-after-worker-accused-of-secretly-filming-13k-in-bathroom/
2025-07-10-23-49-13 +0000,nypost,Hakeem Jeffries’ team blasts Zohran Mamdani’s liberal ‘Team Gentrification’ as primary threats spark NYC Dem feud,https://nypost.com/2025/07/10/us-news/hakeem-jeffries-team-blasts-zohran-mamdanis-liberal-team-gentrification-as-primary-threats-spark-nyc-dem-feud/
2025-07-10-23-37-46 +0000,nypost,"Daughter of NJ police chief accuses him, others of ‘ritualistic’ abuse, years of sexual assault: court docs",https://nypost.com/2025/07/10/us-news/daughter-of-nj-police-chief-accuses-him-others-of-ritualistic-abuse-years-of-sexual-assault-court-docs/
2025-07-10-23-35-38 +0000,nypost,ICE agents clash with shrieking keffiyeh-wearing protesters outside San Francisco Immigration Court: video,https://nypost.com/2025/07/10/us-news/ice-agents-clash-with-protesters-outside-san-francisco-immigration-court-video/
2025-07-10-23-11-31 +0000,nypost,"Eric Adams positions himself as pro-education NYC mayoral candidate, announcing $80M funding surge",https://nypost.com/2025/07/10/us-news/eric-adams-positions-himself-as-pro-education-nyc-mayoral-candidate-announcing-80m-funding-surge/
2025-07-10-23-05-30 +0000,bbc,"'Autofocus' specs promise sharp vision, near or far",https://www.bbc.com/news/articles/cj6r06d7xdjo
2025-07-10-22-59-09 +0000,bbc,"In the country with the world's lowest birth rate, fertility clinics are booming",https://www.bbc.com/news/articles/c20wg50l563o
2025-07-10-22-54-22 +0000,nypost,"Long Island’s alleged ghost gun kingpin arrested, over 100 firearms seized in Suffolk County’s biggest weapons bust ever",https://nypost.com/2025/07/10/us-news/long-islands-alleged-ghost-gun-kingpin-arrested-in-suffolk-countys-biggest-weapons-bust-ever/
2025-07-10-22-45-23 +0000,nypost,"Old-school NYC toy store will close after 44 years, neighbors crushed as ‘magic disappears’",https://nypost.com/2025/07/10/us-news/old-school-nyc-toy-store-will-close-after-44-years-neighbors-crushed-as-magic-disappears/
2025-07-10-22-37-54 +0000,nypost,Rattled NYC elite try to tame Marxist Mamdani,https://nypost.com/2025/07/10/business/rattled-nyc-elite-try-to-tame-marxist-mamdani/
2025-07-10-22-35-57 +0000,nypost,NYC woman haunted by horrifying July 4th rape on Coney Island — where she says bystanders laughed and filmed ‘like it was a movie’,https://nypost.com/2025/07/10/us-news/nyc-woman-haunted-by-horrifying-july-4th-rape-on-coney-island-where-she-says-bystanders-laughed-and-filmed-like-it-was-a-movie/
