pubdate,source,title,link
2025-07-10-10-50-45 +0000,bbc,Deadly new Russian drone and missile attack hits Kyiv,https://www.bbc.com/news/articles/cj3rvpe06rxo
2025-07-10-10-48-57 +0000,nyt,Rubio Visits Asia as Trump Raises Trade-War Tensions,https://www.nytimes.com/2025/07/09/world/asia/rubio-asia-diplomacy-tariffs.html
2025-07-10-10-46-37 +0000,bbc,"UK faces rising and unpredictable threat from Iran, report warns",https://www.bbc.com/news/articles/c98wjzj4jlpo
2025-07-10-10-35-13 +0000,bbc,Royal Mail to scrap second-class post on Saturdays,https://www.bbc.com/news/articles/c36x8k2612ko
2025-07-10-10-14-50 +0000,nyt,Southern China and Hong Kong Brace for Floods and Fierce Winds from Danas,https://www.nytimes.com/2025/07/10/world/asia/typhoon-danas-rain-flooding-china-hong-kong.html
2025-07-10-10-06-57 +0000,bbc,South African experts worry as US cuts to HIV treatment start to bite,https://www.bbc.com/news/articles/ce83r14vlnpo
2025-07-10-10-01-36 +0000,bbc,"Children queuing for supplements killed in Israeli strike in Gaza, hospital says",https://www.bbc.com/news/articles/c4gd01g1gxro
2025-07-10-09-54-24 +0000,bbc,Secret Service suspended staff for failings over Trump assassination attempt,https://www.bbc.com/news/articles/cy0w9ev559ro
2025-07-10-09-52-55 +0000,bbc,Plan for electricity bills based on region dropped,https://www.bbc.com/news/articles/cdr3e78112po
2025-07-10-09-51-10 +0000,bbc,US cuts visa validity for applicants from three African countries,https://www.bbc.com/news/articles/cx23ywg9w82o
2025-07-10-09-22-00 +0000,wsj,"Tariff Anxiety Spreading Across Japan, BOJ Report Shows",https://www.wsj.com/world/asia/tariff-anxiety-spreading-across-japan-boj-report-shows-ca788637
2025-07-10-09-01-19 +0000,nyt,The Calgary Stampede Captures Canada’s Western Spirit,https://www.nytimes.com/2025/07/10/world/canada/calgary-stampede-rodeo.html
2025-07-10-09-00-36 +0000,nyt,How El Salvador Is Reaping Rewards From Trump’s Deportation Agenda,https://www.nytimes.com/2025/07/10/world/americas/trump-migrants-el-salvador-bukele.html
2025-07-10-09-00-18 +0000,nyt,"Maya Ruler’s Tomb Is Unearthed in Belize, With Clues to His Ancient World",https://www.nytimes.com/2025/07/10/world/americas/maya-tomb-caracol-belize.html
2025-07-10-08-57-22 +0000,bbc,Government's watered-down benefits bill clears Commons,https://www.bbc.com/news/articles/cm2zyvypmeeo
2025-07-10-08-46-30 +0000,bbc,Search for survivors after Houthis sink second Red Sea cargo ship in a week,https://www.bbc.com/news/articles/c3071vp2d8yo
2025-07-10-08-29-32 +0000,bbc,MP takes break from Parliament due to illness,https://www.bbc.com/news/articles/cjel15wnyyyo
2025-07-10-08-11-18 +0000,nyt,China Surveys Seabeds Where Naval Rivals May One Day Clash,https://www.nytimes.com/2025/07/10/world/asia/china-ships-taiwan-guam.html
2025-07-10-08-07-40 +0000,bbc,Chris Mason: Migrant deal will be seen as failure if numbers don't fall,https://www.bbc.com/news/articles/cly8mk006kvo
2025-07-10-07-47-23 +0000,bbc,"Get your act together, Post Office victims tell Starmer",https://www.bbc.com/news/articles/crk6r2615vzo
2025-07-10-06-00-21 +0000,bbc,'Trump was right' - John Kerry says Democrats allowed migrant 'siege' of US border,https://www.bbc.com/news/articles/cr4wk52rwqpo
2025-07-10-05-35-00 +0000,wsj,June’s U.K. Home Buyer Demand Turns Positive for the First Time Since December,https://www.wsj.com/economy/central-banking/junes-u-k-home-buyer-demand-turns-positive-for-the-first-time-since-december-0bf9a9cd
2025-07-10-05-25-38 +0000,bbc,Reform leader says council first to scrap net zero,https://www.bbc.com/news/articles/c3vde31lwpdo
2025-07-10-05-11-58 +0000,bbc,North Sea operators 'running out of time' to plug old oil wells,https://www.bbc.com/news/articles/cn4101grdxvo
2025-07-10-04-42-37 +0000,bbc,Chris Mason: Reform's momentum is making the political weather,https://www.bbc.com/news/articles/c1e0vq4gxeno
2025-07-10-04-27-20 +0000,bbc,Former Love Island USA contestant apologises for using slur in post,https://www.bbc.com/news/articles/c0epr2vdwq3o
2025-07-10-04-00-09 +0000,nyt,His Start-Up May Not Survive Chaotic Rollout of Trump’s Tariffs,https://www.nytimes.com/2025/07/10/business/trump-tariffs-china.html
2025-07-10-03-20-45 +0000,bbc,Kellogg shares soar on reports of Ferrero takeover talks,https://www.bbc.com/news/articles/c3d1m2kjk93o
2025-07-10-03-11-07 +0000,bbc,"Ban some foreigners from sickness benefits, Tories urge",https://www.bbc.com/news/articles/c80p1gdvyggo
2025-07-10-02-40-00 +0000,wsj,Bank of Korea Holds Rates as Growth Concerns Ebb,https://www.wsj.com/articles/bank-of-korea-holds-rates-as-growth-concerns-ebb-e129a1e2
2025-07-10-02-34-23 +0000,bbc,Back-to-back floods in New Mexico and Texas with very different outcomes,https://www.bbc.com/news/articles/c5y022wp009o
2025-07-10-01-17-00 +0000,wsj,A brewing debate inside the Federal Reserve over how to address risks posed by President Trump’s tariffs threatens to end a period of relative unity,https://www.wsj.com/economy/central-banking/what-division-inside-the-fed-means-for-future-rate-cuts-c5a9bdb8
2025-07-10-01-12-47 +0000,nyt,Umbrellas Optional? East Asia’s Monsoon Rains Are No Longer a Sure Thing,https://www.nytimes.com/2025/07/09/world/asia/monsoon-season-south-korea-japan.html
2025-07-10-01-07-30 +0000,bbc,Trump threatens Brazil with 50% tariff and demands Bolsonaro's trial end,https://www.bbc.com/news/articles/c784ee81y4zo
2025-07-10-00-36-34 +0000,bbc,"US sanctions UN expert Francesca Albanese, critic of Israel's Gaza offensive",https://www.bbc.com/news/articles/c70rllxr0kyo
2025-07-10-00-26-49 +0000,nyt,"Trump Pledges 50% Tariffs Against Brazil, Citing ‘Witch Hunt’ Against Bolsonaro",https://www.nytimes.com/2025/07/09/world/americas/brazil-trump-bolsonaro-lula-coup-tariff.html
2025-07-09-23-26-54 +0000,nyt,Mexico Sentences 10 Men to 140 Years Each in Prison for Links to Killing at Cartel Ranch,https://www.nytimes.com/2025/07/09/world/americas/mexico-izaguirre-ranch-cartel.html
2025-07-09-23-21-48 +0000,bbc,"Watch: Trump praises Liberian president's English, the country's official language",https://www.bbc.com/news/videos/cdxl4gknwgno
2025-07-09-23-10-00 +0000,bbc,US lawmakers write to Canada to complain that its wildfire smoke is spoiling summer,https://www.bbc.com/news/articles/czjkgg0kk3lo
2025-07-09-23-03-27 +0000,bbc,"Package holidays to Spain, Cyprus and Turkey soar in price",https://www.bbc.com/news/articles/clyndp097gro
2025-07-09-23-01-22 +0000,bbc,'I can't drink the water' - life next to a US data centre,https://www.bbc.com/news/articles/cy8gy7lv448o
2025-07-09-22-17-48 +0000,bbc,Ex-Tory chairman Jake Berry defects to Reform UK,https://www.bbc.com/news/articles/cx24lll3n99o
2025-07-09-22-01-21 +0000,bbc,Everything you need to know about Wafcon 2024 finals,https://www.bbc.com/sport/football/articles/cqj7k2pwx4no
