pubdate,source,title,link
2025-07-12-20-45-52 +0000,nypost,"Ocasio-Cortez slammed over ‘defamatory’ Trump, Jeffrey Epstein post: ‘Sue AOC into bankruptcy’",https://nypost.com/2025/07/12/us-news/ocasio-cortez-slammed-over-defamatory-trump-jeffrey-epstein-post-sue-aoc-into-bankruptcy/
2025-07-12-20-22-44 +0000,nypost,"Masked, gun-toting duo pistol-whip, rip $75K in jewelry off victim at his luxury $2M New Rochelle pad: cops",https://nypost.com/2025/07/12/us-news/masked-gun-toting-duo-rip-75k-in-jewelry-from-westchester-homeowner/
2025-07-12-20-12-43 +0000,nypost,"Last of the living ‘Hillside Stranglers,’ Kenneth Bianchi, 74, denied parole in Calif.",https://nypost.com/2025/07/12/us-news/hillside-stranglers-parole-denied-for-the-8th-time-by-california-board/
2025-07-12-20-04-51 +0000,nypost,Iranian fatwa crowdfunding effort claims to have raised $40M for bounty on President Trump’s head,https://nypost.com/2025/07/12/us-news/iranian-fatwa-crowdfunding-effort-raises-40m-to-kill-president-trump/
2025-07-12-19-51-56 +0000,nypost,Billionaire’s son ignored $15M promise to buy Jackson Pollock painting: lawsuit,https://nypost.com/2025/07/12/us-news/david-mimran-sued-for-failing-to-pay-for-15m-jackson-pollock/
2025-07-12-19-49-53 +0000,nypost,Bill Gates’ net worth plummets $51B within days as Microsoft mogul amps up philanthropy,https://nypost.com/2025/07/12/us-news/bill-gates-net-worth-plummets-51-billion-within-days/
2025-07-12-19-40-22 +0000,nyt,Rubio Visits Asia in Shadow of Trump’s Tariffs,https://www.nytimes.com/video/world/asia/100000010277461/rubio-visits-asia-in-shadow-of-trumps-tariffs.html
2025-07-12-19-27-47 +0000,startribune,Minnesota Lynx fall to Chicago Sky for second loss of road trip,https://www.startribune.com/minnesota-lynx-chicago-sky-wnba-schedule-cheryl-reeve-napheesa-collier-angel-reese/601336912
2025-07-12-19-11-22 +0000,nypost,Wild video shows NYPD cop duke it out with brute during intense Starbucks brawl,https://nypost.com/2025/07/12/us-news/video-nypd-officer-dukes-it-out-with-wild-brute-throwing-food-during-starbucks-morning-smackdown/
2025-07-12-18-28-05 +0000,nypost,"Possible rare mountain lion sighting in Rochester has residents panicking, as the city issues shelter-in-place order",https://nypost.com/2025/07/12/lifestyle/mountain-lion-possibly-sighted-in-this-new-york-city/
2025-07-12-17-45-54 +0000,cbc,Israel's plan for 'humanitarian city' in Rafah sparks outrage,https://www.cbc.ca/player/play/9.6829747?cmp=rss
2025-07-12-17-23-07 +0000,nyt,Air India Plane Crash Report Says Fuel to Engines Was Cut Off,https://www.nytimes.com/2025/07/11/world/asia/air-india-crash-report.html
2025-07-12-17-11-45 +0000,nypost,15-year-old illegal migrant arrested for Long Island murder: cops,https://nypost.com/2025/07/12/us-news/15-year-old-illegal-migrant-arrested-for-long-island-murder-cops/
2025-07-12-17-01-00 +0000,wsj,"The U.S. will charge a 30% tariff on the European Union and Mexico effective Aug. 1, President Trump said in letters to the leaders of each trading partner, posted on Truth Social",https://www.wsj.com/economy/trade/trump-threatens-30-tariffs-on-eu-mexico-c48ce36f
2025-07-12-16-58-40 +0000,nypost,College student attacked over NYC parking spot leaves Queens neighborhood — despite large show of community support,https://nypost.com/2025/07/12/us-news/college-student-in-parking-spot-brawl-reunites-lone-rescuer/
2025-07-12-16-54-02 +0000,nypost,Hate cab: NYC taxi driver caught on disturbing video spewing antisemitic slurs,https://nypost.com/2025/07/12/us-news/nyc-cabbie-caught-on-video-in-antisemitic-outburst/
