score,pubdate,source,title,link
112,2025-06-04-07-25-13 +0000,nyt,South Korea’s New President Will Face Deep Divisions and the Trump Administration,https://www.nytimes.com/2025/06/03/world/asia/lee-south-korea-new-president.html
50,2025-06-04-17-09-00 +0000,wsj,"The Bank of Canada left its main interest rate unchanged, at 2.75%, saying the economy has softened but not deteriorated, and inflation has picked up steam",https://www.wsj.com/articles/bank-of-canada-keeps-policy-rate-steady-at-2-75-cc33f1b4
46,2025-05-29-19-51-00 +0000,wsj,President Trump claims tariffs will make the U.S. rich. A coalition of states and small businesses argued the opposite in court and dealt a blow to his trade war,https://www.wsj.com/economy/trade/the-economic-arguments-that-launched-the-suits-against-trump-tariffs-aa8fb373
44,2025-05-31-22-10-56 +0000,nyt,U.S. Says Hamas Response to Gaza Cease-Fire Proposal ‘Only Takes Us Backward’,https://www.nytimes.com/2025/05/31/world/middleeast/israel-gaza-hamas-ceasefire-proposal.html
30,2025-06-04-22-41-13 +0000,nyt,Trump and Putin Discuss Ukraine Drone Strike and Iran Nuclear Deal in Phone Call,https://www.nytimes.com/2025/06/04/us/politics/trump-putin-ukraine.html
30,2025-05-22-14-42-00 +0000,wsj,"Sales of existing homes declined in April, after mounting economic uncertainty and steep housing costs pushed buyers away for the second consecutive month",https://www.wsj.com/economy/housing/home-sales-in-april-fell-for-the-second-straight-month-1be8482a
29,2025-05-02-20-33-00 +0000,wsj,The U.S. labor market steadily added jobs last month despite jolting tariff announcements that many economists expect will give way to a trade policy-induced slowdown later this year,https://www.wsj.com/economy/jobs/jobs-report-april-2025-unemployment-economy-6ad2bdac
26,2025-05-31-03-14-00 +0000,wsj,"President Trump said he would double tariffs on imported steel, making the announcement at a Pittsburgh rally promoting a $14 billion deal between Nippon Steel and U.S. Steel",https://www.wsj.com/economy/trade/trump-is-praising-his-u-s-steel-deal-no-one-is-sure-what-it-means-a6cb15b5
24,2025-06-02-22-26-22 +0000,nyt,Low Turnout in Mexico’s Judicial Election Fuels Legitimacy Concerns,https://www.nytimes.com/2025/06/02/world/americas/mexico-judicial-election-low-turnout.html
22,2025-05-23-16-43-00 +0000,wsj,"First-Time Home Buyers Downsize Amid Tight Supply, High Interest Rates",https://www.wsj.com/economy/housing/first-time-home-buyers-downsize-amid-tight-supply-high-interest-rates-2b89511b
