score,pubdate,source,title,link
46,2025-07-09-16-39-00 +0000,wsj,"Businesses hoping for clarity on where Trump tariffs land will likely have to wait a bit longer. For now, here’s where things stand.",https://www.wsj.com/economy/trade/trump-tariffs-countries-goods-explained-b9878e1a
27,2025-07-09-19-48-23 +0000,nyt,Former President Yoon Suk Yeol of South Korea Is Arrested on New Charges,https://www.nytimes.com/2025/07/09/world/asia/south-korea-arrest-yoon-suk-yeol.html
23,2025-07-10-00-36-34 +0000,bbc,"US sanctions UN expert Francesca Albanese, critic of Israel's Gaza offensive",https://www.bbc.com/news/articles/c70rllxr0kyo
22,2025-07-09-17-00-33 +0000,bbc,Russia's summer push in Ukraine targets three fronts but faces stern resistance,https://www.bbc.com/news/articles/c70rl6lk2yxo
21,2025-07-10-09-35-06 +0000,nyt,UK and France Agree to First Ever Nuclear Weapons Pact to Fend Off Threat to Europe,https://www.nytimes.com/2025/07/10/world/europe/starmer-macron-nuclear-agreement.html
20,2025-07-09-20-36-58 +0000,bbc,'Huge wall of water': Texas man stood on meter box to survive deadly floods,https://www.bbc.com/news/articles/c3358pz41d6o
16,2025-07-09-20-25-00 +0000,wsj,Minutes from the Fed’s June policy meeting tease at a looming split over whether and when officials will resume rate cuts,https://www.wsj.com/economy/central-banking/june-fed-minutes-inflation-interest-rates-4911925c
15,2025-07-10-01-07-30 +0000,bbc,Trump threatens Brazil with 50% tariff and demands Bolsonaro's trial end,https://www.bbc.com/news/articles/c784ee81y4zo
15,2025-07-09-21-34-15 +0000,nyt,"Yemen’s Houthi Militia Took Sailors Hostage After Red Sea Attack, U.S. Says",https://www.nytimes.com/2025/07/09/world/middleeast/houthis-red-sea-hostages.html
14,2025-07-10-14-53-49 +0000,nyt,La Scala Warns Opera Patrons: No Flip-Flops or Tank Tops Allowed,https://www.nytimes.com/2025/07/10/arts/la-scala-opera-dress-code.html
