score,pubdate,source,title,link
32,2025-07-10-16-08-00 +0000,wsj,"Businesses hoping for clarity on where Trump tariffs land will likely have to wait a bit longer. For now, here’s where things stand.",https://www.wsj.com/economy/trade/trump-tariffs-countries-goods-explained-b9878e1a
18,2025-07-11-08-06-08 +0000,bbc,"UK-France migrant deal 'robust' against legal challenges, Cooper says",https://www.bbc.com/news/articles/cx24d70gw41o
15,2025-07-11-09-30-00 +0000,wsj,"Nuclear power exemplifies how revamping dated and onerous rules could kick-start investment and innovation, writes the WSJ’s Greg Ip",https://www.wsj.com/economy/trumps-unsung-economic-booster-deregulation-e46bce0b
13,2025-07-11-14-39-16 +0000,bbc,Ex-MP faces two-year wait for betting offences trial,https://www.bbc.com/news/articles/c056v0m56pyo
13,2025-07-11-12-43-08 +0000,bbc,"Gaza's largest functioning hospital facing disaster, medics warn, as Israel widens offensive",https://www.bbc.com/news/articles/cdx5zeywgrgo
13,2025-07-11-09-00-37 +0000,nyt,"In ‘Apocalypse in the Tropics,’ Director Petra Costa Examines Brazil’s Rightward Shift",https://www.nytimes.com/2025/07/11/movies/petra-costa-brazil-politics-documentary.html
11,2025-07-11-11-43-52 +0000,nyt,Good Vibes in Trump Trade Talks Haven’t Shielded Canada From Chaos,https://www.nytimes.com/2025/07/11/world/canada/canada-trump-tariffs-trade-talks.html
11,2025-07-10-21-44-33 +0000,bbc,Nigeria win to book spot in Wafcon quarter-finals,https://www.bbc.com/sport/football/articles/cg75ylvjm8zo
10,2025-07-11-13-34-12 +0000,bbc,"Iran could recover some enriched uranium after US strikes, Israeli official says",https://www.bbc.com/news/articles/cn0qzxvydz1o
10,2025-07-10-19-45-28 +0000,bbc,Watch: Rare shelf cloud seen over Maryland amid severe weather,https://www.bbc.com/news/videos/cwyg93lzqd7o
