score,pubdate,source,title,link
8,2025-06-05-00-00-00 +0000,wsj,‘The Attacker Wanted Us to Burn.’ Victims Recount Terror of Colorado Firebombing.,https://www.wsj.com/us-news/boulder-colorado-attack-victims-6d603614
8,2025-06-04-22-20-07 +0000,nyt,U.S. Vetoes U.N. Resolution Demanding Immediate Gaza Cease-Fire,https://www.nytimes.com/2025/06/04/world/middleeast/un-security-council-gaza-cease-fire.html
7,2025-06-04-13-24-00 +0000,wsj,Celebrity Lawyer Thomas Girardi Sentenced to Seven Years for Fraud,https://www.wsj.com/us-news/law/celebrity-lawyer-thomas-girardi-sentenced-to-7-years-for-fraud-16a45c34
7,2025-06-04-08-46-39 +0000,nyt,Smoke From Canadian Wildfires Approaches the Northeast,https://www.nytimes.com/2025/06/03/weather/canada-wildfires-smoke-us-air-quality.html
7,2025-06-04-15-33-50 +0000,nyt,"Ancient Trees, Dwindling in the Wild, Thrive on Sacred Ground",https://www.nytimes.com/2025/06/04/science/ancient-trees-china-temples-conservation.html
7,2025-06-04-14-37-44 +0000,nyt,What to Know About Canada’s Wildfires in Manitoba and Saskatchewan,https://www.nytimes.com/article/canada-wildfires-2025.html
7,2025-06-04-18-53-32 +0000,nyt,"Rosana Paulino, a Brazilian Artist Who Wields Poetry and Persistence",https://www.nytimes.com/2025/06/04/arts/design/rosana-paulino-brazil-studio.html
6,2025-06-05-02-30-20 +0000,nyt,What is the Hajj? What to Know About the Pilgrimage and Saudi Arabia’s Preparations,https://www.nytimes.com/2025/06/04/world/middleeast/saudi-arabia-hajj-heat.html
6,2025-06-05-03-22-00 +0000,wsj,Judge Blocks Deportation of Boulder Suspect’s Family,https://www.wsj.com/us-news/judge-blocks-deportation-of-boulder-suspects-family-dd60aee7
6,2025-06-04-21-36-00 +0000,wsj,Opinion | Full Expensing Boosts Economic Growth,https://www.wsj.com/opinion/full-expensing-boosts-economic-growth-tax-reform-37cb1501
6,2025-06-04-14-03-01 +0000,nyt,"Attack on Aid Convoy in Sudan Kills 5, U.N. Says",https://www.nytimes.com/2025/06/04/world/africa/sudan-united-nations-convoy-attack.html
6,2025-06-04-13-00-06 +0000,nyt,"In Puerto Rico, a Struggle for Power Comes to Light",https://www.nytimes.com/2025/06/04/insider/puerto-rico-power-outage.html
5,2025-06-04-15-00-32 +0000,nyt,"Germans Are Buying More Electric Cars, but Not Teslas",https://www.nytimes.com/2025/06/04/business/tesla-elon-musk-germany-europe-sales.html
5,2025-06-04-22-27-00 +0000,wsj,Opinion | Ending a Tax Break for Lawsuits,https://www.wsj.com/opinion/lawsuits-tax-break-foreign-investment-firms-thom-tillis-kevin-hern-86b2d7d8
5,2025-06-05-03-04-09 +0000,nyt,U.S. Brings Back Guatemalan Wrongly Deported to Mexico,https://www.nytimes.com/2025/06/04/us/politics/guatemalan-deported-mexico-trump.html
4,2025-06-04-17-06-04 +0000,nyt,A Guide to Madrid’s Maritime Treasures,https://www.nytimes.com/2025/06/04/travel/maritime-madrid.html
4,2025-06-04-21-38-00 +0000,wsj,"Opinion | A $4.5 Trillion Tax Increase, or Not?",https://www.wsj.com/opinion/congress-tax-bill-cbo-score-deficit-spending-taxes-b4e7dbff
4,2025-06-04-21-09-00 +0000,wsj,Opinion | Medicaid Is Overdue for a Big Beautiful Overhaul,https://www.wsj.com/opinion/medicaid-is-overdue-for-a-big-beautiful-overhaul-258e04da
3,2025-06-04-21-41-00 +0000,wsj,Opinion | As We Get Older and Stop Making Cents,https://www.wsj.com/opinion/as-we-get-older-and-stop-making-cents-penny-leaving-circulation-inflation-federal-debt-48fba5dd
