score,pubdate,source,title,link
37,2025-07-12-17-01-00 +0000,wsj,"The U.S. will charge a 30% tariff on the European Union and Mexico effective Aug. 1, President Trump said in letters to the leaders of each trading partner, posted on Truth Social",https://www.wsj.com/economy/trade/trump-threatens-30-tariffs-on-eu-mexico-c48ce36f
24,2025-07-12-23-45-33 +0000,nyt,Air India Plane Crash Report Says Fuel to Engines Was Cut Off,https://www.nytimes.com/2025/07/11/world/asia/air-india-crash-report.html
23,2025-07-13-01-00-00 +0000,wsj,"Economists expect stronger growth and job creation, lower risk of recession and cooler inflation than they did three months ago, according to a Wall Street Journal survey",https://www.wsj.com/economy/economists-see-lower-recession-risk-and-stronger-job-growth-wsj-survey-10d6e476
21,2025-07-12-20-56-38 +0000,nypost,"Secret Service officials were aware of ‘classified threat’ 10 days before Butler assassination attempt, failed to tell agents guarding Trump",https://nypost.com/2025/07/12/us-news/top-secret-service-officials-were-aware-of-classified-threat-10-days-before-butler-assassination-attempt-and-failed-to-tell-agents-law-enforcement-guarding-trump/
17,2025-07-12-21-11-05 +0000,bbc,The mushroom killer was obsessed with true crime. Now true crime fans are obsessed with her,https://www.bbc.com/news/articles/c0m8glx2zleo
17,2025-07-12-23-56-51 +0000,nypost,Trump defends Pam Bondi hours after FBI boss Kash Patel squashed ‘conspiracy’ resignation rumors over Epstein files uproar,https://nypost.com/2025/07/12/us-news/trump-defends-pam-bondi-hours-after-fbi-boss-kash-patel-squashed-conspiracy-resignation-rumors-over-epstein-files-uproar/
15,2025-07-13-02-44-25 +0000,nypost,Border czar Tom Homan delivers fiery response to anti-ICE activist interrupting him: ‘You want some? Come get some’,https://nypost.com/2025/07/12/us-news/border-czar-tom-homan-delivers-stern-warning-to-anti-ice-protesters-you-want-some-come-get-some/
14,2025-07-13-01-04-00 +0000,wsj,Answers to frequently asked questions about The Wall Street Journal's Economic Forecasting survey plus links to stories and archival data.,https://www.wsj.com/economy/economic-forecasting-survey-archive-11617814998
14,2025-07-12-14-00-00 +0000,wsj,The White House has an explanation for the nearly $2 trillion of manufacturing-related projects announced since the start of the year. It’s the Trump Effect.,https://www.wsj.com/politics/policy/trump-new-us-factories-d2981280
13,2025-07-12-22-29-02 +0000,nypost,Trump set to join prestigious presidential roadway honor roll near his beloved Florida estate,https://nypost.com/2025/07/12/us-news/trump-set-to-join-prestigious-presidential-roadway-honor-roll-near-his-beloved-florida-estate/
