score,pubdate,source,title,link
44,2025-07-12-20-56-38 +0000,nypost,"Secret Service officials were aware of ‘classified threat’ 10 days before Butler assassination attempt, failed to tell agents guarding Trump",https://nypost.com/2025/07/12/us-news/top-secret-service-officials-were-aware-of-classified-threat-10-days-before-butler-assassination-attempt-and-failed-to-tell-agents-law-enforcement-guarding-trump/
23,2025-07-12-22-31-52 +0000,nypost,"Socialist NYC mayoral candidate Zohran Mamdani’s dad sits on council of anti-Israel group, sympathetic of suicide bombers",https://nypost.com/2025/07/12/us-news/mamdanis-dad-part-of-anti-israel-group-sympathetic-to-suicide-bombers/
21,2025-07-12-22-09-47 +0000,nypost,Family of nanny hit and killed by wife of Lufthansa CEO ‘destroyed’ by 24-year-old’s tragic death,https://nypost.com/2025/07/12/world-news/gaia-costas-family-in-deep-grief-over-24-year-olds-tragic-death/
21,2025-07-12-17-01-00 +0000,wsj,"The U.S. will charge a 30% tariff on the European Union and Mexico effective Aug. 1, President Trump said in letters to the leaders of each trading partner, posted on Truth Social",https://www.wsj.com/economy/trade/trump-threatens-30-tariffs-on-eu-mexico-c48ce36f
21,2025-07-12-01-38-23 +0000,nypost,Teen buried alive after sand tunnel collapses at Italian beach as frantic father was napping: ‘No one realized what happened’,https://nypost.com/2025/07/11/world-news/teen-17-buried-alive-after-sand-tunnel-collapses-at-italian-beach/
20,2025-07-11-23-48-26 +0000,nypost,"Judge releases bizarre letter from would-be Trump assassin offering himself up for prisoner swap with Hamas, Iran, China or Russia",https://nypost.com/2025/07/11/us-news/judge-releases-letter-from-would-be-trump-assassin-offering-himself-up-for-prisoner-swap-with-hamas/
19,2025-07-12-21-56-09 +0000,nypost,"Video appears to show woman plowing through ICE protestors in New Jersey, injuring 3",https://nypost.com/2025/07/12/us-news/woman-drives-through-ice-protest-in-north-new-jersey/
17,2025-07-12-12-20-00 +0000,nypost,Accused Minnesota assassin Vance Boelter hints at motive during exclusive  jailhouse interview: ‘It didn’t involve… Trump stuff or pro-life’,https://nypost.com/2025/07/12/world-news/accused-killer-vance-boelter-hints-at-motive-in-post-jailhouse-interview/
16,2025-07-12-20-22-44 +0000,nypost,"Gun-toting duo pistol-whip, rip $75K in jewelry off victim at his luxury NY pad: cops",https://nypost.com/2025/07/12/us-news/masked-gun-toting-duo-rip-75k-in-jewelry-from-westchester-homeowner/
16,2025-07-12-01-53-00 +0000,wsj,A dispute over the Federal Reserve’s renovation of its headquarters could provide the pretext to attempt the removal of Fed chief Jerome Powell over interest-rate disagreements,https://www.wsj.com/economy/central-banking/jerome-powell-fed-renovations-trump-fb9793df
