score,pubdate,source,title,link
44,2025-07-08-13-59-19 +0000,nyt,Trump’s New Trade Threats Set Off Global Scramble to Avoid Tariffs,https://www.nytimes.com/2025/07/08/business/economy/trump-tariffs-talks.html
26,2025-07-07-22-06-53 +0000,nypost,White House urges Dems to ‘tone down’ anti-ICE rhetoric — as activists say lawmakers should be willing to ‘get shot’ to obstruct enforcement,https://nypost.com/2025/07/07/us-news/white-house-urges-dems-to-tone-down-anti-ice-rhetoric-as-activists-say-pols-should-be-willing-to-get-shot/
22,2025-07-07-23-24-42 +0000,nypost,"EPA chief Lee Zeldin unveils Trump admin plan to give jolt to nuclear power plants, zap wind power",https://nypost.com/2025/07/07/us-news/epa-chief-unveils-trump-admin-plan-to-give-jolt-to-nuclear-power-plants-zap-wind-power/
21,2025-07-08-14-47-33 +0000,nypost,"AI-powered Marco Rubio impersonator makes calls to foreign ministers, top officials: report",https://nypost.com/2025/07/08/us-news/ai-powered-rubio-impersonator-makes-calls-to-foreign-ministers-other-top-officials-report/
21,2025-07-08-16-43-22 +0000,nypost,"Trump rips Putin during cabinet meeting for talking ‘bulls—‘: ‘He’s very nice, but it turns out to be meaningless’",https://nypost.com/2025/07/08/us-news/trump-rips-putin-during-cabinet-meeting-for-talking-bulls-hes-very-nice-but-it-turns-out-to-be-meaningless/
20,2025-07-08-03-07-20 +0000,nypost,Gov. Ron DeSantis warns Elon Musk about running ‘America Party’ candidates against GOP: ‘Democrats would win’,https://nypost.com/2025/07/07/us-news/desantis-warns-musk-about-running-america-party-candidates-against-gop/
18,2025-07-07-21-12-29 +0000,nypost,Sen. Ted Cruz cuts short European vacation due to deadly Texas flooding,https://nypost.com/2025/07/07/us-news/ted-cruz-cuts-short-european-vacation-due-to-deadly-texas-flooding/
17,2025-07-08-04-00-11 +0000,nyt,Trump and Netanyahu Meet Amid Gaza Cease-Fire Negotiations,https://www.nytimes.com/2025/07/07/us/politics/trump-netanyahu-dinner-gaza-cease-fire.html
16,2025-07-07-21-23-28 +0000,nypost,Florida business group woos NYC CEOs worried about Zohran Mamdani tax plans,https://nypost.com/2025/07/07/us-news/florida-business-group-woos-nyc-ceos-worried-about-zohran-mamdani-tax-plans/
14,2025-07-08-04-34-03 +0000,nypost,Kamala Harris campaign staffers warned not to reach out to Taylor Swift: ‘Doug Emhoff was handling it’,https://nypost.com/2025/07/08/us-news/kamala-harris-campaign-staffers-warned-not-to-reach-out-to-taylor-swift-doug-emhoff-was-handling-it/
