score,pubdate,source,title,link
37,2025-06-07-09-00-00 +0000,wsj,"Elon Musk and House Republicans both promised to tackle federal spending. It turns out only one of them was serious, and it wasn’t Musk, the WSJ’s Greg Ip writes.",https://www.wsj.com/politics/policy/republican-spending-bill-elon-musk-criticism-138cd0ee
29,2025-06-07-10-00-07 +0000,wapo,Trump travel ban targets nations mired in civil wars or armed conflicts,https://www.washingtonpost.com/world/2025/06/07/trump-travel-ban-civil-wars/
15,2025-06-07-15-10-19 +0000,nyt,Agents Use Military-Style Force Against Protesters at L.A. Immigration Raid,https://www.nytimes.com/2025/06/06/us/los-angeles-immigration-raid.html
15,2025-06-07-11-45-25 +0000,nyt,"Russian Spies Are Suspicious of China, Even as Putin and Xi Grow Close",https://www.nytimes.com/2025/06/07/world/europe/china-russia-spies-documents-putin-war.html
13,2025-06-07-14-39-12 +0000,nyt,Kilmar Abrego Garcia Returned to U.S. From El Salvador to Face Criminal Charges,https://www.nytimes.com/2025/06/06/us/politics/kilmar-abrego-garcia-us-criminal-charges.html
12,2025-06-07-12-18-44 +0000,nyt,D.C. Police Officer Sentenced to Prison for Leaks to Proud Boys’ Leader,https://www.nytimes.com/2025/06/07/us/dc-police-proud-boys-sentence.html
11,2025-06-07-21-06-44 +0000,nyt,Israel Recovers Body of Thai Farmworker in Gaza,https://www.nytimes.com/2025/06/07/world/middleeast/israel-thai-hostage-body-gaza.html
11,2025-06-07-17-23-41 +0000,nyt,"Scott Panetti, 67, at the Center of a Landmark Death Penalty Case, Dies",https://www.nytimes.com/2025/06/07/us/scott-panetti-dead.html
10,2025-06-07-10-00-06 +0000,nyt,Will Hudson’s Bay’s 355-Year-Old Charter Go to the Highest Bidder?,https://www.nytimes.com/2025/06/07/world/canada/will-hudsons-bays-355-year-old-charter-go-to-the-highest-bidder.html
10,2025-06-07-04-33-17 +0000,nyt,Buyer With Ties to Chinese Communist Party Got V.I.P. Treatment at Trump Crypto Dinner,https://www.nytimes.com/2025/06/06/us/politics/trump-crypto-dinner-china-he-tianying.html
