score,pubdate,source,title,link
58,2025-06-05-13-43-00 +0000,wsj,President Trump has signed a sweeping travel ban on 12 countries and introduced more-limited travel restrictions on seven others,https://www.wsj.com/politics/policy/trump-travel-ban-announced-12-countries-ba0b6b65
31,2025-06-05-19-35-00 +0000,wsj,"Early hints of a slowing labor market are raising the stakes for Friday’s release of the May jobs report, anticipated to show cooler hiring but a steady unemployment rate",https://www.wsj.com/articles/labor-market-outlook-cautious-ahead-of-may-jobs-report-55989ab7
25,2025-06-05-03-49-26 +0000,nyt,Drone Attacks Are the New Front in War. Can NATO Keep Up?,https://www.nytimes.com/2025/06/04/world/europe/ukraine-russia-drones-nato.html
25,2025-06-05-14-59-00 +0000,wsj,"Violence against Jews is about more than left or right, writes Mark Oppenheimer. The rise of identity politics and a growing taste for transgression have eroded the taboo against antisemitism across the political spectrum.",https://www.wsj.com/politics/violence-against-jews-is-about-more-than-left-or-right-eae41a90
24,2025-06-05-10-38-00 +0000,wsj,Israeli Forces Recover Bodies of American-Israeli Couple Taken Into Gaza,https://www.wsj.com/world/middle-east/israeli-forces-recover-bodies-of-american-israeli-couple-taken-into-gaza-627a1bc8
19,2025-06-04-23-37-00 +0000,wsj,A federal judge ruled Wednesday that the Trump administration must allow migrants it shipped to a notorious Salvadoran prison an opportunity to challenge their removal from the U.S.,https://www.wsj.com/politics/policy/migrants-sent-to-el-salvador-prison-can-challenge-deportations-judge-rules-82e8298f
18,2025-06-05-18-55-00 +0000,wsj,"Long-simmering tensions between Trump and Elon Musk burst into the open, as the two men traded barbs and insults",https://www.wsj.com/politics/policy/trump-rips-musk-for-attacking-tax-bill-34c81d81
17,2025-06-05-15-14-00 +0000,wsj,"The ECB cut rates for the eighth time in a year, widening a gap with the Federal Reserve that has fueled President Trump’s criticism of Chair Jerome Powell",https://www.wsj.com/economy/central-banking/ecb-cuts-rates-for-eighth-time-widening-gap-with-fed-0a2e0c1c
17,2025-06-05-14-47-00 +0000,wsj,"The U.S. trade deficit collapsed in April, as tariffs took a huge bite out of imports",https://www.wsj.com/economy/trade/u-s-trade-deficit-shrinks-as-companies-slow-down-their-front-loading-81020f09
16,2025-06-04-22-41-13 +0000,nyt,Trump and Putin Discuss Ukraine Drone Strike and Iran Nuclear Deal in Phone Call,https://www.nytimes.com/2025/06/04/us/politics/trump-putin-ukraine.html
