score,pubdate,source,title,link
44,2025-07-12-20-56-38 +0000,nypost,"Secret Service officials were aware of ‘classified threat’ 10 days before Butler assassination attempt, failed to tell agents guarding Trump",https://nypost.com/2025/07/12/us-news/top-secret-service-officials-were-aware-of-classified-threat-10-days-before-butler-assassination-attempt-and-failed-to-tell-agents-law-enforcement-guarding-trump/
39,2025-07-12-16-17-04 +0000,nypost,Widow of killed fire chief not satisfied with Secret Service suspensions over Trump assassination attempt,https://nypost.com/2025/07/12/us-news/corey-comperatores-widow-not-satisfied-with-secret-service-suspensions/
37,2025-07-12-17-01-00 +0000,wsj,"The U.S. will charge a 30% tariff on the European Union and Mexico effective Aug. 1, President Trump said in letters to the leaders of each trading partner, posted on Truth Social",https://www.wsj.com/economy/trade/trump-threatens-30-tariffs-on-eu-mexico-c48ce36f
36,2025-07-11-23-48-26 +0000,nypost,"Judge releases bizarre letter from would-be Trump assassin offering himself up for prisoner swap with Hamas, Iran, China or Russia",https://nypost.com/2025/07/11/us-news/judge-releases-letter-from-would-be-trump-assassin-offering-himself-up-for-prisoner-swap-with-hamas/
35,2025-07-12-14-00-00 +0000,wsj,The White House has an explanation for the nearly $2 trillion of manufacturing-related projects announced since the start of the year. It’s the Trump Effect.,https://www.wsj.com/politics/policy/trump-new-us-factories-d2981280
35,2025-07-12-12-20-00 +0000,nypost,Accused Minnesota assassin Vance Boelter hints at motive during exclusive  jailhouse interview: ‘It didn’t involve… Trump stuff or pro-life’,https://nypost.com/2025/07/12/world-news/accused-killer-vance-boelter-hints-at-motive-in-post-jailhouse-interview/
32,2025-07-12-02-08-29 +0000,nypost,Trump grants ICE ability to arrest ‘SLIMEBALL’ protesters who attack agents after chaotic California pot farm raid,https://nypost.com/2025/07/11/us-news/trump-grants-ice-ability-to-arrest-protesters-who-attack-agents-after-california-pot-farm-raid/
30,2025-07-12-16-47-29 +0000,nypost,GOP senator subpoenas FBI for records related to Trump assassination attempt,https://nypost.com/2025/07/12/us-news/gop-sen-ron-johnson-subpoenas-fbi-for-records-related-to-trump-assassination-attempt/
28,2025-07-12-20-04-51 +0000,nypost,Iranian fatwa crowdfunding effort claims to have raised $40M for bounty on President Trump’s head,https://nypost.com/2025/07/12/us-news/iranian-fatwa-crowdfunding-effort-raises-40m-to-kill-president-trump/
28,2025-07-12-22-29-02 +0000,nypost,Trump set to join prestigious presidential roadway honor roll near his beloved Florida estate,https://nypost.com/2025/07/12/us-news/trump-set-to-join-prestigious-presidential-roadway-honor-roll-near-his-beloved-florida-estate/
26,2025-07-11-23-32-19 +0000,nypost,"Trump concerned by Ukraine violence, as Kyiv envoy’s daughter says: ‘He wants the killing to stop’",https://nypost.com/2025/07/11/world-news/violence-in-ukraine-is-taking-a-super-personal-toll-on-trump-keith-kelloggs-daughter-says/
26,2025-07-12-20-45-52 +0000,nypost,"Ocasio-Cortez slammed over ‘defamatory’ Trump, Jeffrey Epstein post: ‘Sue AOC into bankruptcy’",https://nypost.com/2025/07/12/us-news/ocasio-cortez-slammed-over-defamatory-trump-jeffrey-epstein-post-sue-aoc-into-bankruptcy/
25,2025-07-12-16-36-44 +0000,nypost,Trump floats stripping Rosie O’Donnell of US citizenship: ‘Threat to Humanity’,https://nypost.com/2025/07/12/us-news/trump-threatens-to-strip-rosie-odonnells-us-citizenship/
24,2025-07-12-13-02-39 +0000,nypost,Trump announces 30% tariffs for Mexico and EU starting next month,https://nypost.com/2025/07/12/us-news/trump-announces-30-tariffs-for-mexico-and-eu-starting-next-month/
24,2025-07-11-23-08-37 +0000,nypost,"State Department cuts over 1,300 staffers as part of Trump administration’s sweeping overhaul",https://nypost.com/2025/07/11/us-news/state-department-cuts-over-1300-staffers-as-part-of-sweeping-overhaul/
23,2025-07-12-22-31-52 +0000,nypost,"Socialist NYC mayoral candidate Zohran Mamdani’s dad sits on council of anti-Israel group, sympathetic of suicide bombers",https://nypost.com/2025/07/12/us-news/mamdanis-dad-part-of-anti-israel-group-sympathetic-to-suicide-bombers/
22,2025-07-12-19-40-22 +0000,nyt,Rubio Visits Asia in Shadow of Trump’s Tariffs,https://www.nytimes.com/video/world/asia/100000010277461/rubio-visits-asia-in-shadow-of-trumps-tariffs.html
21,2025-07-12-01-38-23 +0000,nypost,Teen buried alive after sand tunnel collapses at Italian beach as frantic father was napping: ‘No one realized what happened’,https://nypost.com/2025/07/11/world-news/teen-17-buried-alive-after-sand-tunnel-collapses-at-italian-beach/
21,2025-07-12-22-09-47 +0000,nypost,Family of nanny hit and killed by wife of Lufthansa CEO ‘destroyed’ by 24-year-old’s tragic death,https://nypost.com/2025/07/12/world-news/gaia-costas-family-in-deep-grief-over-24-year-olds-tragic-death/
20,2025-07-12-22-00-31 +0000,nypost,At least one killed after two men jump into NYC waters in separate incidents,https://nypost.com/2025/07/12/us-news/one-man-jumped-off-bridge-another-entered-water-from-pier/
20,2025-07-12-01-53-00 +0000,wsj,A dispute over the Federal Reserve’s renovation of its headquarters could provide the pretext to attempt the removal of Fed chief Jerome Powell over interest-rate disagreements,https://www.wsj.com/economy/central-banking/jerome-powell-fed-renovations-trump-fb9793df
19,2025-07-12-17-23-07 +0000,nyt,Air India Plane Crash Report Says Fuel to Engines Was Cut Off,https://www.nytimes.com/2025/07/11/world/asia/air-india-crash-report.html
19,2025-07-12-06-57-05 +0000,nypost,German tourist Carolina Wilga found alive 12 days after she was lost in the Australian Outback,https://nypost.com/2025/07/12/world-news/german-tourist-carolina-wilga-found-alive-12-days-after-she-was-lost-in-the-australian-outback/
19,2025-07-12-16-58-40 +0000,nypost,College student attacked over NYC parking spot leaves Queens neighborhood — despite large show of community support,https://nypost.com/2025/07/12/us-news/college-student-in-parking-spot-brawl-reunites-lone-rescuer/
19,2025-07-12-21-40-49 +0000,nypost,These are the forgotten NYC nabes that became real estate hot spots in the last decade: report,https://nypost.com/2025/07/12/real-estate/median-sale-prices-doubled-or-more-in-these-24-nyc-neighborhoods-report/
19,2025-07-12-21-56-09 +0000,nypost,"Video appears to show woman plowing through ICE protestors in New Jersey, injuring 3",https://nypost.com/2025/07/12/us-news/woman-drives-through-ice-protest-in-north-new-jersey/
18,2025-07-12-13-13-07 +0000,startribune,"One Minneapolis police lieutenant earned about $500,000 last year amid record overtime costs",https://www.startribune.com/minneapolis-police-department-record-overtime/601359583
17,2025-07-12-16-54-02 +0000,nypost,Hate cab: NYC taxi driver caught on disturbing video spewing antisemitic slurs,https://nypost.com/2025/07/12/us-news/nyc-cabbie-caught-on-video-in-antisemitic-outburst/
